치료,출처 행위(source act)는 대상 행위(target act)에서 설명된 기존의 불리한 상황을 개선하기 위한 의도를 가지고 있다. 이는 질병에만 국한되지 않으며 의학적 또는 기술적 성격의 어떠한 불리한 상황이나 조건에도 적용될 수 있다.
완화,출처 행위(source act)는 대상 행위(target act)의 영향에 대한 완화(palliation)를 제공하기 위한 의도를 가지고 있다.
억제,분자 세포 또는 전신 수준에서 생리적 과정에 대한 부정적인(억제적인) 조절 효과를 의미한다. 분자 수준에서 주요 조절 부위에는 세포막 수용체 유전자(유전자 발현 조절) mRNA(전령 RNA) 단백질이 포함된다.
활성화,분자 세포 또는 전사 수준에서 생리적 과정에 대한 긍정적인 조절 효과를 의미한다. 분자 수준에서 주요 조절 부위에는 세포막 수용체 유전자(유전자 발현 조절) mRNA(전령 RNA) 단백질이 포함된다.
유발,어떤 개체(예: 유전자형과 유전 변이와 화학 물질과 환경 노출)와 특정 상태(표현형이나 질병) 사이의 관계로 해당 개체가 그 상태에 대해 일정한 인과적 역할(causal role)을 갖는 경우를 말한다.
연관,특정한 방식으로 서로 연관되어 있는 상태.
국한,특정 위치에 국한되거나 제한되어 있는 상태.
상호작용,두 개 이상의 대상이 서로 작용하는 특성 상태 또는 과정.
참여,어떤 지속체(continuant)와 과정(process) 사이에 성립하는 관계로 그 지속체가 해당 과정에 어떤 방식으로든 관여되어 있는 경우를 말한다.
발현,어떤 유전자 또는 유전자 산물이 특정 생물학적 구조 내에서 발현될 때 그 둘 사이에 성립하는 관계
포함,다른 것의 일부로 추가하다. 어떤 집합 그룹 또는 범주의 일부로 포함시키다.
부작용,의학적 처치가 개인에게 의도하지 않은 보통은 부정적이거나 바람직하지 않은 효과를 초래하는 관계
목표,어떤 지속체가 계획된 과정에 참여하고 그 지속체가 그 과정의 주된 목표 달성을 위해 핵심적인 역할을 할 때 해당 지속체는 그 과정의 ‘목표 대상(target)’이 된다.
발현_증가,단백질이나 전사인자 등의 요소가 유전자의 전사 과정을 활성화하거나 촉진하여 발현 수준을 증가시키는 경우에 성립하는 관계.
발현_감소,어떤 단백질 유전자 또는 분자적 요소가 특정 유전자의 전사를 억제하거나 방해함으로써 발현 수준을 감소시키는 관계.
방지,어떤 객체가 부정적인 과정을 유발하는 특성이 발현되는 것을 차단함으로써 해당 과정을 예방하는 관계
영향,정신적 표상이나 관념에 동반되는 감정적 느낌으로 본능에서 가장 직접적으로 파생된 심리적 요소이며 본능이 신체적 변화를 통해 드러날 때 그것을 나타내는 심리적 대표물이다.
함유,무언가를 포함하거나 내부에 지니고 있으며 그것을 구성 요소로 가지고 있는 상태
